Dataset,Model,Filters,Baseline RMSE,Filtered RMSE,Mixed RMSE,Rest RMSE,Improvement (%)
esol,SVM,BeyondRo5Filter,2.3186604419047514,2.3438248324199855,2.335793753194223,2.985723793321455,-1.0852986517750685
esol,SVM,BMSFilter,2.3186604419047514,2.125648563999311,2.445630372850931,2.7424661264266246,8.324283901910345
esol,SVM,BrenkFilter,2.3186604419047514,2.142686148345368,2.3986869471064045,2.1554585722209247,7.589480994242637
esol,SVM,FAF4DruglikeFilter,2.3186604419047514,1.5453956902331005,2.2806709583043654,2.5985089235905727,33.34963316303543
esol,SVM,FAF4LeadlikeFilter,2.3186604419047514,1.1113014848989047,2.241911473696424,2.3343321855662613,52.07140015784355
esol,SVM,GhoseFilter,2.3186604419047514,1.296776448499738,2.1500607736063024,2.6049318634679355,44.07217093700655
esol,SVM,GlaxoFilter,2.3186604419047514,2.404199560940016,2.419182622622831,2.2336224573295005,-3.689161098767668
esol,SVM,GSKFilter,2.3186604419047514,1.5363524565568647,2.503082987159042,3.9407495930520167,33.73965291378457
esol,SVM,HaoFilter,2.3186604419047514,1.8632542771743053,2.3614472931651993,3.7281552213876523,19.640916647386952
esol,SVM,InpharmaticaFilter,2.3186604419047514,2.1190072212605577,2.5683146945050885,2.763833410816754,8.610714058682134
esol,SVM,LINTFilter,2.3186604419047514,2.2110353064667216,2.661100261123501,2.77140280486839,4.641694553154019
esol,SVM,LipinskiFilter,2.3186604419047514,2.2969887788356345,2.343323208704973,3.0935573573336557,0.9346630786228438
esol,SVM,MLSMRFilter,2.3186604419047514,1.9259713291372282,2.3956183586914803,2.231557729837043,16.9360336541962
esol,SVM,NIBRFilter,2.3186604419047514,1.877063364895189,2.374195321112319,2.868025515660019,19.045353473438986
esol,SVM,NIHFilter,2.3186604419047514,2.125648563999311,2.445630372850931,2.7424661264266246,8.324283901910345
esol,SVM,OpreaFilter,2.3186604419047514,1.5257828971186378,2.0868327180815927,2.26304640002693,34.19550057682332
esol,SVM,PAINSFilter,2.3186604419047514,2.331169631740813,2.3327662054354192,2.137959106023468,-0.5395007224854975
esol,SVM,PfizerFilter,2.3186604419047514,1.178327474715234,2.368273513639453,2.178641194763535,49.18067978305386
esol,SVM,REOSFilter,2.3186604419047514,1.4226351497620433,2.038476864540298,2.47940018583277,38.644092767918806
esol,SVM,RuleOfFourFilter,2.3186604419047514,0.3849139220808695,2.1151654636034003,2.4433210054602705,83.39929749417439
esol,SVM,RuleOfThreeFilter,2.3186604419047514,1.3620434509191692,2.8769209969312377,3.253235655903327,41.257312787021675
esol,SVM,RuleOfTwoFilter,2.3186604419047514,1.071573813106293,3.3662651462633404,3.329340931535113,53.78478910754141
esol,SVM,RuleOfVeberFilter,2.3186604419047514,2.420665131161525,2.4536666678600554,3.4347573857039415,-4.399293980837382
esol,SVM,RuleOfXuFilter,2.3186604419047514,1.6789683306863274,2.1263458482853217,2.4137684137520634,27.588865521547635
esol,SVM,SureChEMBLFilter,2.3186604419047514,2.081572046106059,2.4542595066887847,2.533527597814263,10.225231410077761
esol,SVM,TiceHerbicidesFilter,2.3186604419047514,1.0255358401631682,2.232863495422391,2.5092681923188107,55.770330936396064
esol,SVM,TiceInsecticidesFilter,2.3186604419047514,1.3041555742527817,2.1043405005728,2.607581170598525,43.753921415874345
esol,SVM,ValenceDiscoveryFilter,2.3186604419047514,1.3973222285909728,2.0724416342466854,2.3322948290697654,39.7357973018641
esol,SVM,ZINCBasicFilter,2.3186604419047514,2.3698936403624584,2.4099848409564704,3.1735321948873745,-2.209603335261101
esol,SVM,ZINCDruglikeFilter,2.3186604419047514,2.127397727755338,2.346982068588531,2.995017323145739,8.24884535453123
esol,Gradient Boosting Regressor,BeyondRo5Filter,2.227964517851766,2.3157174618213583,2.3130266904237002,3.2598932608140014,-3.9387047354867644
esol,Gradient Boosting Regressor,BMSFilter,2.227964517851766,2.16014769166975,2.3693011345277624,2.7317633610133183,3.0438916615873945
esol,Gradient Boosting Regressor,BrenkFilter,2.227964517851766,2.190039890283009,2.5211518796283143,2.3094194194279405,1.7022096745653803
esol,Gradient Boosting Regressor,FAF4DruglikeFilter,2.227964517851766,1.641518651504951,2.279235860706092,2.649230695415862,26.322046946792234
esol,Gradient Boosting Regressor,FAF4LeadlikeFilter,2.227964517851766,1.313620148627951,2.309039564930912,2.4831253625781353,41.039449322354486
esol,Gradient Boosting Regressor,GhoseFilter,2.227964517851766,1.3004410646694184,2.1930034998780084,2.61485890159456,41.630979566796626
esol,Gradient Boosting Regressor,GlaxoFilter,2.227964517851766,2.3269112144283133,2.4680288379957,2.2189070869364995,-4.441125331383322
esol,Gradient Boosting Regressor,GSKFilter,2.227964517851766,1.5952439499792146,2.5206007734257874,4.0162401480780545,28.399041492933165
esol,Gradient Boosting Regressor,HaoFilter,2.227964517851766,1.956693978886388,2.3867811569632584,4.080047034784176,12.175711811916145
esol,Gradient Boosting Regressor,InpharmaticaFilter,2.227964517851766,2.079618277284424,2.4077828138272,2.548475543644939,6.658375363642666
esol,Gradient Boosting Regressor,LINTFilter,2.227964517851766,2.1835078809774378,2.6698088683280026,2.7336520227027346,1.9953924992124117
esol,Gradient Boosting Regressor,LipinskiFilter,2.227964517851766,2.276528294135971,2.3659264625323284,3.2083813221822726,-2.17973741929387
esol,Gradient Boosting Regressor,MLSMRFilter,2.227964517851766,1.9160130415415753,2.4606473233184056,2.394735879575107,14.001635744674179
esol,Gradient Boosting Regressor,NIBRFilter,2.227964517851766,1.8505497942572127,2.392802382616291,2.7058336984608142,16.939889328150603
esol,Gradient Boosting Regressor,NIHFilter,2.227964517851766,2.1850241803828316,2.4062971477857387,2.7249013158332445,1.9273348890824327
esol,Gradient Boosting Regressor,OpreaFilter,2.227964517851766,1.5551373191624782,2.128190508367437,2.348093063520984,30.199188241024455
esol,Gradient Boosting Regressor,PAINSFilter,2.227964517851766,2.3251094178420537,2.2758016688941685,1.8134681906682713,-4.36025346058726
esol,Gradient Boosting Regressor,PfizerFilter,2.227964517851766,1.3801939781000228,2.5682522618581753,2.3126175462451855,38.05134834773649
esol,Gradient Boosting Regressor,REOSFilter,2.227964517851766,1.4668263150777316,2.111393331148223,2.5470748322716865,34.162940956884455
esol,Gradient Boosting Regressor,RuleOfFourFilter,2.227964517851766,0.4077273345948713,2.1155460595397444,2.4090956319543566,81.69955888758913
esol,Gradient Boosting Regressor,RuleOfThreeFilter,2.227964517851766,1.5463092791274107,3.0145678932383246,3.3723891253301224,30.59542615075471
esol,Gradient Boosting Regressor,RuleOfTwoFilter,2.227964517851766,1.0953465886827105,3.683776856774388,3.611866545547187,50.836443762629635
esol,Gradient Boosting Regressor,RuleOfVeberFilter,2.227964517851766,2.220804823662787,2.321822251431921,3.280734381969039,0.32135584438671705
esol,Gradient Boosting Regressor,RuleOfXuFilter,2.227964517851766,1.768509127518709,2.2431710766635535,2.4716938563107522,20.62220410835224
esol,Gradient Boosting Regressor,SureChEMBLFilter,2.227964517851766,2.051020833206565,2.420104108104039,2.461419484268656,7.941943564514775
esol,Gradient Boosting Regressor,TiceHerbicidesFilter,2.227964517851766,1.0590103541314286,2.3147994700297776,2.5217053852914804,52.467359976067264
esol,Gradient Boosting Regressor,TiceInsecticidesFilter,2.227964517851766,1.4212258398838586,2.1826308668353387,2.5716950767817215,36.2096735160655
esol,Gradient Boosting Regressor,ValenceDiscoveryFilter,2.227964517851766,1.5693570980565688,2.200504283775387,2.2969063832497705,29.56094742613924
esol,Gradient Boosting Regressor,ZINCBasicFilter,2.227964517851766,2.4040476981260914,2.4506694001943594,2.997391014058008,-7.903320670658953
esol,Gradient Boosting Regressor,ZINCDruglikeFilter,2.227964517851766,2.192716033789451,2.3641856343281713,2.9438108056684738,1.5820936006782471
esol,MLP,BeyondRo5Filter,3.2937566023045677,2.937597175806964,2.922017507790714,2.214069207436104,10.813167744344165
esol,MLP,BMSFilter,3.2937566023045677,2.670786704821488,2.888815882738304,2.9392005418957488,18.913659164954744
esol,MLP,BrenkFilter,3.2937566023045677,2.8671952229273754,3.071211422775004,2.5947289420927655,12.950604154500578
esol,MLP,FAF4DruglikeFilter,3.2937566023045677,1.9316652879061427,2.787402206400169,2.6892661582931816,41.35373310357542
esol,MLP,FAF4LeadlikeFilter,3.2937566023045677,1.5692410491803888,2.613968165532728,2.336088268379525,52.357103494459004
esol,MLP,GhoseFilter,3.2937566023045677,1.6374094626753983,2.6900408450765663,2.0093009885482283,50.28747839079124
esol,MLP,GlaxoFilter,3.2937566023045677,2.74447754689336,2.8731432585853294,2.812397702636021,16.67637053165645
esol,MLP,GSKFilter,3.2937566023045677,2.324639188891718,3.3718681829550077,4.502087054329309,29.422860594337173
esol,MLP,HaoFilter,3.2937566023045677,2.400433363356541,3.0188676534442562,4.140982367780738,27.12171380007219
esol,MLP,InpharmaticaFilter,3.2937566023045677,2.642465557021271,3.1341268661809143,3.16313454907858,19.77350253590696
esol,MLP,LINTFilter,3.2937566023045677,2.77707717334428,3.136220939230214,3.2153605511470045,15.686630536050494
esol,MLP,LipinskiFilter,3.2937566023045677,2.941555515966274,3.0307714134289694,3.496631270133657,10.692990674898883
esol,MLP,MLSMRFilter,3.2937566023045677,2.5955674132953916,3.2699151653764837,3.0576314975398784,21.197352242745215
esol,MLP,NIBRFilter,3.2937566023045677,2.4625991959476488,3.1161942117055497,3.262776196342487,25.23432987657245
esol,MLP,NIHFilter,3.2937566023045677,2.670786704821488,2.888815882738304,2.9392005418957488,18.913659164954744
esol,MLP,OpreaFilter,3.2937566023045677,1.7240746671369245,2.5495885130178815,2.172878316480121,47.6562820115297
esol,MLP,PAINSFilter,3.2937566023045677,2.882329414288323,2.948028916742305,4.238287586154115,12.491122984873204
esol,MLP,PfizerFilter,3.2937566023045677,1.529160545883573,2.9452527458885362,2.794157161183161,53.573966430499034
esol,MLP,REOSFilter,3.2937566023045677,1.845535177115629,2.4695605412594825,2.3380519972884657,43.968683787249205
esol,MLP,RuleOfFourFilter,3.2937566023045677,0.15878392350298043,2.878629481185021,2.675797057601139,95.17924538225189
esol,MLP,RuleOfThreeFilter,3.2937566023045677,1.7057255897698194,3.062373587901024,3.237296953509593,48.21336863275321
esol,MLP,RuleOfTwoFilter,3.2937566023045677,1.2120204113077913,3.6843846513754834,3.7239918257539255,63.20249011539687
esol,MLP,RuleOfVeberFilter,3.2937566023045677,3.1003190510678857,3.239136377704355,3.3721520345644524,5.872855058608096
esol,MLP,RuleOfXuFilter,3.2937566023045677,1.9663123553361002,2.622213615214186,2.355530932504928,40.3018318366234
esol,MLP,SureChEMBLFilter,3.2937566023045677,2.531736238311619,2.998686989205711,2.8286803172360413,23.135296744749756
esol,MLP,TiceHerbicidesFilter,3.2937566023045677,1.4835501725982372,2.7179559390370764,2.7754328041333025,54.958718820928354
esol,MLP,TiceInsecticidesFilter,3.2937566023045677,1.5664825896615513,2.4574686088410647,2.508782606420825,52.440851623173415
esol,MLP,ValenceDiscoveryFilter,3.2937566023045677,1.508356325295557,2.480177450314565,2.348689971777329,54.205592354936186
esol,MLP,ZINCBasicFilter,3.2937566023045677,3.2432607689393054,3.2071862401048126,3.1291248074445073,1.533077256829829
esol,MLP,ZINCDruglikeFilter,3.2937566023045677,2.560745308138928,2.8708432966858086,3.376744934693608,22.254567737420793
esol,SGD,BeyondRo5Filter,2090871350297.0674,1493915326662.3792,2448617942287.944,2592051703559.6914,28.55058602959354
esol,SGD,BMSFilter,2090871350297.0674,1535540247527.1118,2919535773061.7188,1059348075079.7311,26.559793011227363
esol,SGD,BrenkFilter,2090871350297.0674,2842893848450.209,3141208114243.164,2109605926430.1296,-35.966942588136554
esol,SGD,FAF4DruglikeFilter,2090871350297.0674,3439145586332.035,2446625320530.7627,1044427602269.2815,-64.48384477808293
esol,SGD,FAF4LeadlikeFilter,2090871350297.0674,2282301912249.4106,2406072472622.504,1663764698816.351,-9.155539958264058
esol,SGD,GhoseFilter,2090871350297.0674,1822623182995.4673,2489241079786.919,1506811430261.43,12.829491745797172
esol,SGD,GlaxoFilter,2090871350297.0674,1727183257110.9377,2358092649578.158,1948556998721.8271,17.39409233066671
esol,SGD,GSKFilter,2090871350297.0674,2315840140957.176,3082411169776.107,2614387979786.485,-10.759571153344517
esol,SGD,HaoFilter,2090871350297.0674,2906023222329.3306,4153144562814.397,2462335242942.6743,-38.986228010463094
esol,SGD,InpharmaticaFilter,2090871350297.0674,1986941496475.4207,2103001668649.1965,2024007266190.2961,4.970647945741879
esol,SGD,LINTFilter,2090871350297.0674,2663038897147.187,1923785373285.1804,2205679293389.8,-27.36502878423519
esol,SGD,LipinskiFilter,2090871350297.0674,1376839118270.9875,3249049167626.2686,3190086758517.63,34.14998402099829
esol,SGD,MLSMRFilter,2090871350297.0674,3094825399232.738,3838686157095.0566,1949430906349.6233,-48.01606032781645
esol,SGD,NIBRFilter,2090871350297.0674,1815774557681.355,4476077617203.927,4495034955287.793,13.157040607812965
esol,SGD,NIHFilter,2090871350297.0674,1728323379444.2651,1839889172541.5366,1884238243479.8657,17.3395637565789
esol,SGD,OpreaFilter,2090871350297.0674,1433556729012.3032,2320115080392.026,1529353753425.838,31.437353675125635
esol,SGD,PAINSFilter,2090871350297.0674,3013376158549.484,2685658369684.412,1503177771596.536,-44.12059154769845
esol,SGD,PfizerFilter,2090871350297.0674,1878739845683.0767,1952232972876.6836,1434537736558.7087,10.145602912577644
esol,SGD,REOSFilter,2090871350297.0674,2489196144233.2373,2706253222636.485,2266182132640.6084,-19.05066009343792
esol,SGD,RuleOfFourFilter,2090871350297.0674,7207379924.305685,13841408329.844753,13816355343.88202,99.65529299909907
esol,SGD,RuleOfThreeFilter,2090871350297.0674,3807142399478.786,9138730670236.357,5072380755555.2705,-82.08401004384483
esol,SGD,RuleOfTwoFilter,2090871350297.0674,2756800205591.3,5486507375423.104,4542618361758.904,-31.84934621633313
esol,SGD,RuleOfVeberFilter,2090871350297.0674,1740691389960.8079,1690997028431.8894,1902944943487.492,16.748039533207372
esol,SGD,RuleOfXuFilter,2090871350297.0674,2304790594377.004,1979172706360.302,1398519795112.7786,-10.231105039032794
esol,SGD,SureChEMBLFilter,2090871350297.0674,2010079068285.3599,2170255607263.0227,2101848717522.6055,3.8640484504332884
esol,SGD,TiceHerbicidesFilter,2090871350297.0674,2007192758594.0605,2743810277331.2603,1238204401041.569,4.002091840376398
esol,SGD,TiceInsecticidesFilter,2090871350297.0674,2635039979694.0293,2346213582279.1733,1567458070873.4487,-26.02592595281614
esol,SGD,ValenceDiscoveryFilter,2090871350297.0674,1484375613548.6814,1838998975107.545,1510371252981.4082,29.006841413854378
esol,SGD,ZINCBasicFilter,2090871350297.0674,2124804783632.7961,3146171053625.479,1515210984867.2427,-1.62293262715123
esol,SGD,ZINCDruglikeFilter,2090871350297.0674,1706950084215.6184,1719328981474.0334,2510788712456.819,18.3617832836488
