Dataset,Model,Filters,baseline_rmse,mixed_rmse,improvement_percentage
lipophilicity,SVM,BeyondRo5Filter,0.820943746578348,0.8230493204877917,-0.2564821180768506
lipophilicity,SVM,BMSFilter,0.820943746578348,0.8280611289519083,-0.8669756488462355
lipophilicity,SVM,BrenkFilter,0.820943746578348,0.8610040485131428,-4.879786477668424
lipophilicity,SVM,FAF4DruglikeFilter,0.820943746578348,0.8527026330532838,-3.8685825438472765
lipophilicity,SVM,FAF4LeadlikeFilter,0.820943746578348,0.9434686819683181,-14.924888081631394
lipophilicity,SVM,GhoseFilter,0.820943746578348,0.9069660084676345,-10.478459973393184
lipophilicity,SVM,GlaxoFilter,0.820943746578348,0.8239168612822111,-0.36215815227960135
lipophilicity,SVM,GSKFilter,0.820943746578348,0.921098868551643,-12.199998159525126
lipophilicity,SVM,HaoFilter,0.820943746578348,0.9395994244118603,-14.453569849099047
lipophilicity,SVM,InpharmaticaFilter,0.820943746578348,0.8614176989075353,-4.930173656584946
lipophilicity,SVM,LINTFilter,0.820943746578348,0.8792606600390867,-7.103643057615172
lipophilicity,SVM,LipinskiFilter,0.820943746578348,0.8228948980352275,-0.2376717607036838
lipophilicity,SVM,MLSMRFilter,0.820943746578348,0.8810421075215987,-7.3206430030970715
lipophilicity,SVM,MolecularWeightFilter,0.820943746578348,0.8226285073848119,-0.20522244227887398
lipophilicity,SVM,NIBRFilter,0.820943746578348,0.8240743582052532,-0.38134301405587934
lipophilicity,SVM,NIHFilter,0.820943746578348,0.8280611289519083,-0.8669756488462355
lipophilicity,SVM,OpreaFilter,0.820943746578348,0.9446293399497868,-15.066269021105771
lipophilicity,SVM,PAINSFilter,0.820943746578348,0.8233539045853941,-0.2935838194872087
lipophilicity,SVM,PfizerFilter,0.820943746578348,1.116976172725868,-36.060013537025924
lipophilicity,SVM,REOSFilter,0.820943746578348,0.866308837111714,-5.52596821919229
lipophilicity,SVM,RuleOfFourFilter,0.820943746578348,1.2172019098751334,-48.26861340358208
lipophilicity,SVM,RuleOfThreeFilter,0.820943746578348,1.2100517273378084,-47.39764233313706
lipophilicity,SVM,RuleOfTwoFilter,0.820943746578348,1.4486340673910663,-76.45960194336088
lipophilicity,SVM,RuleOfVeberFilter,0.820943746578348,0.8270761328219813,-0.7469922597245882
lipophilicity,SVM,RuleOfXuFilter,0.820943746578348,0.848627467773679,-3.3721824803118805
lipophilicity,SVM,SureChEMBLFilter,0.820943746578348,0.8390628767238342,-2.2071098319471627
lipophilicity,SVM,TiceHerbicidesFilter,0.820943746578348,0.9312747967382857,-13.43953841171115
lipophilicity,SVM,TiceInsecticidesFilter,0.820943746578348,0.8859875970140101,-7.923058151884521
lipophilicity,SVM,ValenceDiscoveryFilter,0.820943746578348,0.8651046265962951,-5.37928210087566
lipophilicity,SVM,ZINCBasicFilter,0.820943746578348,0.823741609785204,-0.34081058763373306
lipophilicity,SVM,ZINCDruglikeFilter,0.820943746578348,0.8356630027263161,-1.7929676922830762
lipophilicity,MLP,BeyondRo5Filter,1.01694787124449,0.9611240973986297,5.489344677770546
lipophilicity,MLP,BMSFilter,1.01694787124449,0.9361505230000654,7.945082587718955
lipophilicity,MLP,BrenkFilter,1.01694787124449,0.9436749699076489,7.205177709568666
lipophilicity,MLP,FAF4DruglikeFilter,1.01694787124449,1.0504778288960215,-3.297116656579391
lipophilicity,MLP,FAF4LeadlikeFilter,1.01694787124449,1.017275426299131,-0.032209620955314655
lipophilicity,MLP,GhoseFilter,1.01694787124449,1.0121867002736682,0.4681824020139058
lipophilicity,MLP,GlaxoFilter,1.01694787124449,0.9887262481101627,2.7751297713806133
lipophilicity,MLP,GSKFilter,1.01694787124449,1.090877538772164,-7.269759799703679
lipophilicity,MLP,HaoFilter,1.01694787124449,1.0875736564992349,-6.944877633532642
lipophilicity,MLP,InpharmaticaFilter,1.01694787124449,1.0450326914326993,-2.7616774647298836
lipophilicity,MLP,LINTFilter,1.01694787124449,1.1428819014668639,-12.3835285744059
lipophilicity,MLP,LipinskiFilter,1.01694787124449,0.9805655147159191,3.5776028995515685
lipophilicity,MLP,MLSMRFilter,1.01694787124449,1.0184270065400423,-0.14544848731943283
lipophilicity,MLP,MolecularWeightFilter,1.01694787124449,1.024174789525158,-0.7106478596414334
lipophilicity,MLP,NIBRFilter,1.01694787124449,0.9746224541126179,4.162004595188962
lipophilicity,MLP,NIHFilter,1.01694787124449,0.9361505230000654,7.945082587718955
lipophilicity,MLP,OpreaFilter,1.01694787124449,1.044699997753583,-2.728962545064517
lipophilicity,MLP,PAINSFilter,1.01694787124449,0.9767673267302871,3.951091855380151
lipophilicity,MLP,PfizerFilter,1.01694787124449,1.1541794561221204,-13.494456181878167
lipophilicity,MLP,REOSFilter,1.01694787124449,1.017429012659095,-0.04731229871361986
lipophilicity,MLP,RuleOfFourFilter,1.01694787124449,1.1280039098744006,-10.920524224511707
lipophilicity,MLP,RuleOfThreeFilter,1.01694787124449,1.1794519272142892,-15.979585637062677
lipophilicity,MLP,RuleOfTwoFilter,1.01694787124449,1.306785612778449,-28.50074716015385
lipophilicity,MLP,RuleOfVeberFilter,1.01694787124449,1.0089969837730188,0.7818382530995649
lipophilicity,MLP,RuleOfXuFilter,1.01694787124449,1.0854802699937889,-6.739027701137967
lipophilicity,MLP,SureChEMBLFilter,1.01694787124449,0.9654361401556512,5.0653266057582025
lipophilicity,MLP,TiceHerbicidesFilter,1.01694787124449,1.0511066064777526,-3.3589465300183807
lipophilicity,MLP,TiceInsecticidesFilter,1.01694787124449,0.9805379666416532,3.5803117969341103
lipophilicity,MLP,ValenceDiscoveryFilter,1.01694787124449,1.0609104446569098,-4.322991832277556
lipophilicity,MLP,ZINCBasicFilter,1.01694787124449,0.952705082682159,6.317215501293472
lipophilicity,MLP,ZINCDruglikeFilter,1.01694787124449,0.9922483986862052,2.4287845283612053
lipophilicity,SGD,BeyondRo5Filter,348130841015.0978,385608828660.5618,-10.765489071920143
lipophilicity,SGD,BMSFilter,348130841015.0978,301807893612.54065,13.306188922385132
lipophilicity,SGD,BrenkFilter,348130841015.0978,513288795325.9118,-47.44134527961901
lipophilicity,SGD,FAF4DruglikeFilter,348130841015.0978,731042634686.8262,-109.99077029636749
lipophilicity,SGD,FAF4LeadlikeFilter,348130841015.0978,2321790029125.1714,-566.9302904491819
lipophilicity,SGD,GhoseFilter,348130841015.0978,530575779312.5082,-52.40700242627976
lipophilicity,SGD,GlaxoFilter,348130841015.0978,520100863856.1897,-49.39810053589417
lipophilicity,SGD,GSKFilter,348130841015.0978,824175599146.3027,-136.74305808216508
lipophilicity,SGD,HaoFilter,348130841015.0978,825789904789.3114,-137.20676466969454
lipophilicity,SGD,InpharmaticaFilter,348130841015.0978,448954812384.87585,-28.96151661708293
lipophilicity,SGD,LINTFilter,348130841015.0978,666746353782.2113,-91.52177148053819
lipophilicity,SGD,LipinskiFilter,348130841015.0978,567996105388.857,-63.155928309214104
lipophilicity,SGD,MLSMRFilter,348130841015.0978,439705643239.09174,-26.304708297884627
lipophilicity,SGD,MolecularWeightFilter,348130841015.0978,311381299657.7815,10.556244097811064
lipophilicity,SGD,NIBRFilter,348130841015.0978,281880434402.9831,19.030318146745728
lipophilicity,SGD,NIHFilter,348130841015.0978,383324451404.97815,-10.109305537900926
lipophilicity,SGD,OpreaFilter,348130841015.0978,601682951795.3512,-72.83241842088255
lipophilicity,SGD,PAINSFilter,348130841015.0978,422604832289.2859,-21.392529043687425
lipophilicity,SGD,PfizerFilter,348130841015.0978,2009121905895.0332,-477.11689663482053
lipophilicity,SGD,REOSFilter,348130841015.0978,536956264398.4738,-54.23978606227165
lipophilicity,SGD,RuleOfFourFilter,348130841015.0978,2094922901628.4346,-501.7630887053703
lipophilicity,SGD,RuleOfThreeFilter,348130841015.0978,2413707193212.507,-593.3333416179088
lipophilicity,SGD,RuleOfTwoFilter,348130841015.0978,7597507783914.004,-2082.3713641000036
lipophilicity,SGD,RuleOfVeberFilter,348130841015.0978,530281869671.77576,-52.32257737509054
lipophilicity,SGD,RuleOfXuFilter,348130841015.0978,281581062897.87524,19.11631210931306
lipophilicity,SGD,SureChEMBLFilter,348130841015.0978,482709136110.39276,-38.6573894754296
lipophilicity,SGD,TiceHerbicidesFilter,348130841015.0978,740454719047.0228,-112.69437573757237
lipophilicity,SGD,TiceInsecticidesFilter,348130841015.0978,722560041616.9167,-107.55415966883
lipophilicity,SGD,ValenceDiscoveryFilter,348130841015.0978,409459771130.8961,-17.616632280257694
lipophilicity,SGD,ZINCBasicFilter,348130841015.0978,353571156216.50006,-1.5627214140347734
lipophilicity,SGD,ZINCDruglikeFilter,348130841015.0978,741004576345.6808,-112.8523213240808
lipophilicity,Gradient Boosting Regressor,BeyondRo5Filter,0.920829435557545,0.9192029436262741,0.17663335558839588
lipophilicity,Gradient Boosting Regressor,BMSFilter,0.920829435557545,0.9123804653858559,0.9175391060966098
lipophilicity,Gradient Boosting Regressor,BrenkFilter,0.920829435557545,0.9267371780610054,-0.6415675124333164
lipophilicity,Gradient Boosting Regressor,FAF4DruglikeFilter,0.920829435557545,0.9330771802974556,-1.330077457015122
lipophilicity,Gradient Boosting Regressor,FAF4LeadlikeFilter,0.920829435557545,1.0051034404798707,-9.151966875526663
lipophilicity,Gradient Boosting Regressor,GhoseFilter,0.920829435557545,0.9540729466968555,-3.6101703372657834
lipophilicity,Gradient Boosting Regressor,GlaxoFilter,0.920829435557545,0.9267359211758216,-0.6414310175369531
lipophilicity,Gradient Boosting Regressor,GSKFilter,0.920829435557545,1.0003377560173046,-8.634424290706866
lipophilicity,Gradient Boosting Regressor,HaoFilter,0.920829435557545,0.9877237801465621,-7.264574958826531
lipophilicity,Gradient Boosting Regressor,InpharmaticaFilter,0.920829435557545,0.9327079696159006,-1.2899820096610393
lipophilicity,Gradient Boosting Regressor,LINTFilter,0.920829435557545,0.9564413752271931,-3.8673763342595313
lipophilicity,Gradient Boosting Regressor,LipinskiFilter,0.920829435557545,0.9242707679010447,-0.37372093143568375
lipophilicity,Gradient Boosting Regressor,MLSMRFilter,0.920829435557545,0.9644604305078115,-4.73822765275187
lipophilicity,Gradient Boosting Regressor,MolecularWeightFilter,0.920829435557545,0.9258212761184639,-0.5421026270621354
lipophilicity,Gradient Boosting Regressor,NIBRFilter,0.920829435557545,0.9225144190413728,-0.1829854062829206
lipophilicity,Gradient Boosting Regressor,NIHFilter,0.920829435557545,0.9117322128797418,0.9879378662884575
lipophilicity,Gradient Boosting Regressor,OpreaFilter,0.920829435557545,0.990496906369918,-7.565730212587152
lipophilicity,Gradient Boosting Regressor,PAINSFilter,0.920829435557545,0.9276834101237419,-0.7443261804556567
lipophilicity,Gradient Boosting Regressor,PfizerFilter,0.920829435557545,1.250110189902182,-35.75914731106131
lipophilicity,Gradient Boosting Regressor,REOSFilter,0.920829435557545,0.9204207553851883,0.04438174504155512
lipophilicity,Gradient Boosting Regressor,RuleOfFourFilter,0.920829435557545,1.2525867334163718,-36.028094351474984
lipophilicity,Gradient Boosting Regressor,RuleOfThreeFilter,0.920829435557545,1.4141753269419228,-53.57625118550495
lipophilicity,Gradient Boosting Regressor,RuleOfTwoFilter,0.920829435557545,1.7220974781550795,-87.01590236549961
lipophilicity,Gradient Boosting Regressor,RuleOfVeberFilter,0.920829435557545,0.9207888932829904,0.0044027995836248834
lipophilicity,Gradient Boosting Regressor,RuleOfXuFilter,0.920829435557545,0.94390851794725,-2.506336298397205
lipophilicity,Gradient Boosting Regressor,SureChEMBLFilter,0.920829435557545,0.9184754057094722,0.2556423325724366
lipophilicity,Gradient Boosting Regressor,TiceHerbicidesFilter,0.920829435557545,1.015870388506695,-10.321233149068965
lipophilicity,Gradient Boosting Regressor,TiceInsecticidesFilter,0.920829435557545,0.9587952647690678,-4.123003429895267
lipophilicity,Gradient Boosting Regressor,ValenceDiscoveryFilter,0.920829435557545,0.9173233885972986,0.38074879286669194
lipophilicity,Gradient Boosting Regressor,ZINCBasicFilter,0.920829435557545,0.9178195181374565,0.3268702437021931
lipophilicity,Gradient Boosting Regressor,ZINCDruglikeFilter,0.920829435557545,0.9201291346923915,0.07605109460141479
